artists,year,song_id,popularity
"Trippie Redd', 'PARTYNEXTDOOR",2020,3WnTQDd9A3bpBfzCziElU9,76
"Future', 'DaBaby', 'Drake', 'Lil Baby",2020,4iiWcajF1fEUpwcUewc464,76
"Gryffin', 'Chris Lane",2020,58jecLK0epwMLr9cy5vFUy,76
"French Montana', 'Tory Lanez",2020,5wMh9hhqKQ4JfqLuvqAC7s,76
"Diplo', 'Thomas Rhett', 'Young Thug",2020,6wXgnhpmOPEJ7cUweSyy2B,76
"Lil Uzi Vert', 'Chief Keef",2020,0IpnZchq8ek2A6pGEP2Qb1,76
"Jeremy Zucker', 'Chelsea Cutler",2020,0JnSoyZMTYZLWFVdVT1JFZ,76
"CNCO', 'Natti Natasha",2020,0P0UtGDZpUMWoFCuDTn78K,76
ZICO,2020,1iIhGHzzrzqQfuNkFI2qAn,76
"SAINt JHN', 'Future",2020,1KyZ4rUiW2lkqGNLQYKpcC,76
"Bad Bunny', 'Kendo Kaponi', 'Arcangel",2020,0fgsKar6uBO08vzHXkTjWi,75
"Diplo', 'Jonas Brothers",2020,0prJ6Nafa5rklRc8rZUNSG,75
"Agust D",2020,0SJ7vFES0Lj6pnumh3DhCe,75
"Eminem', 'Ed Sheeran",2020,0VSzREd1OjEWJ9tXoFHRQH,75
"Wiz Khalifa', 'Tyga",2020,0WLhJ2NBuZHuoHY8pLVHJ0,75
"Jonas Brothers",2020,0WxSQtLMCLcsAOhliamv5W,75
"Sam Hunt",2020,10xuH52YSXHWFwCaF1fsDd,75
Bazzi,2020,13iMiwdY7pgE1f7NwYKr1D,75
"Russell Dickerson",2020,1D7cfiC5mxqHfTCcOiRBej,75
"DripReport', 'Tyga",2020,4KppkflX7I3vJQk7urOJaS,75
"Pop Smoke', 'Rowdy Rebel",2020,4TgHt7vKCimpywaiKfl0uj,75
"El Alfa', 'Darell', 'Noriel",2020,4xI3U4sDj1TPmO9Iz5TkYp,75
"Thomas Rhett', 'Reba McEntire', 'Hillary Scott', 'Chris Tomlin', 'Keith Urban",2020,5o6dFqafETxZNqUFt9ZqAC,75
"Anuel AA', 'Farruko', 'Zion",2020,5p3JJehpKHjr9pJT5eD2Lz,75
Surfaces,2020,5Pgq1Gfeth2CuUhyCXwlfC,75
"Anuel AA', 'Mariah",2020,5poUJOhLyalGkUedn3ggeX,75
"J Balvin', 'Mr Eazi",2020,5zzbORcD0GwLY0wQHP1Xs1,75
"Alan Walker', 'Ruben",2020,22O2Zdfj3jnJZDSzlDMAJp,75
(G)I-DLE,2020,2DmRXiyn03tOqKgEJXlaiJ,75
"Curtis Waters', 'Harm Franklin",2020,2LUdpPCiiza6UQugipjMeS,75
"Gente De Zona', 'Becky G",2020,2vI4SxtYqAQD5h1nSrqfKM,75
"Scott Storch', 'Ozuna', 'Tyga",2020,2ZSHH750nQpUVHjoe3iu2U,75
EVERGLOW,2020,3CyCjgTHFzqucmECajq8QA,75
Ozuna,2020,3gD4J3RUHy4OUuZ3qAiaiG,75
"Meek Mill",2020,3JBvJ9PwrYA1oeUzI3FMRI,75
"Tyler, The Creator",2020,3jHdKaLCkuNEkWcLVmQPCX,75
"Troye Sivan",2020,6YndZBGmLySgsVScckWkmO,75
"21 Savage', 'Summer Walker",2020,67lKDoCZbRCJDa4RT68eme,74
"The Future Kingz",2020,6t3sBdc5SbMlk5AyGvMei2,74
"John Legend",2020,6TYlDTa9AQDvjqwbxlvFyI,74
"Keith Urban",2020,7Ce11Oh1kConF6UlkBWnaZ,74
"Agust D', 'NiiHWA",2020,4bTID1qPjca9WuTZGkGRKE,74
"Agust D', 'RM",2020,4KjASaPtCvRJ4YArYpz6je,74
"Wisin & Yandel', 'Sech",2020,4kuQJb8ghj6268fBTtB3bX,74
"Anuel AA', 'Lil Wayne",2020,4mbb7hmfDR6M9cQaLdYSFd,74
Sia,2020,5cpw6QKJcoXzpNBLNUJx2i,74
"Tyla Yaweh', 'Wiz Khalifa",2020,5DPASDOoVakOcD8EIhb46T,74
"Bad Bunny', 'Myke Towers",2020,5gCg2qMPzKkW4jS4dBKdDs,74
"Paloma Mami",2020,634fDJYRCr5yzqfFWa9rfS,74
"NCT DREAM",2020,0EMD15EVNwDlgGH2CH6ZEL,74
"Eminem', 'Royce Da 5'9"', 'White Gold",2020,0GQ5bFTVFFKpwNPc7KwQnB,74
"The Pussycat Dolls",2020,0GWYApQBwErVPkyXYCTJjI,74
"John K', 'Sigala",2020,0o6NlHNV7Tet6yh9BC6BGd,74
Maluma,2020,0rIZ49wxDf8H2LXOKmAMW5,74
"Agust D', 'MAX",2020,0x25VdiFOIBl1epNer9L3w,74
"Anuel AA', 'Kendo Kaponi', 'Yandel', 'Nengo Flow",2020,0YbXuCsQwrsh5x0hgnED6z,74
"Dr. Sus', 'Tiko",2020,1k6GEdfONk9Fs6JgrC8aBN,74
"Joseph Black",2020,1Zv2jT7iZu98Feqpzhn0nd,74
"John Legend', 'David Guetta",2020,20d27F17AZOxTJOEHAVK2Y,74
"Jack Harlow', 'jetsonmade",2020,2aWVaW1p2kUc5yuKwBmRJi,74
Migos,2020,2b1yiFEFZYuvlBnClvNJHP,74
"CHUNG HA",2020,3As0OA5B06BxLfADvYyG8L,74
"Stunna 4 Vegas', 'Offset",2020,3faAAUxohrxqYhPlneZ3XV,74
GOT7,2020,1pmfd0ohjfh1qXPWvjaC1o,73
"Jawsh 685', 'Jason Derulo",2020,1xQ6trAsedVPCdbtDAmk0c,73
"Natti Natasha",2020,2btKz4s1XrMn5VHe7xZJpi,73
"Joyner Lucas', 'Young Thug",2020,2o1dvKh58G11C51Y9EgBs3,73
"Taylor Swift",2020,2slqvGLwzZZYsT4K4Y1GBC,73
"Still Woozy",2020,3hARuUtzTdUuWH1KiLJlSf,73
"KSI', 'Offset",2020,3xcgXaHFeoCs0xTRJvqDGm,73
"BROCKHAMPTON', 'Dua Lipa",2020,438wODjSTL2jgn1nePaNew,73
"Ankhal', 'Farruko', 'Guaynaa', 'KEVVO",2020,4B2kFp1ulVz1FgwVYSShoj,73
