artists,song_id,year,avg_popularity
"Dominic Fike",1tNJrcVe6gwLEiZCtprs1u,2018,83.0000
"A Boogie Wit da Hoodie', '6ix9ine",1wJRveJZLSb1rjhnUHQiv6,2018,83.0000
"Childish Gambino",0b9oOr2ZgvyQu88wzixux9,2018,83.0000
"Dynoro', "Gigi D'Agostino"]",0E9ZjEAyAwOXZ7wJC0PD33,2018,83.0000
"Meek Mill', 'Drake",2IRZnDFmlqMuOrYOLnZZyc,2018,83.0000
"5 Seconds of Summer",2iUXsYOEPhVqEBwsqP70rE,2018,83.0000
"Imagine Dragons",2RSHsoi04658QL5xgQVov3,2018,83.0000
"The Chainsmokers', 'Coldplay",6RUKPb4LETWmmr3iAEQktW,2017,83.0000
"Billie Eilish",7hDVYcQq6MxkdJGweuCtl9,2017,83.0000
"Kendrick Lamar",7KXjTSCq5nL1LoYtL7XAwS,2017,83.0000
XXXTENTACION,3GVkPk8mqxz0itaAriG1L7,2017,83.0000
"Post Malone', 'Quavo",3a1lNhkSLSkpJE4MSHpDu9,2016,83.0000
"Post Malone",75ZvA4QfFiZvzhj2xkaWAh,2016,83.0000
"Twenty One Pilots",3CRDbSIZ4r5MsZ0YwxuEkn,2015,83.0000
WILLOW,0y60itmpH0aPKsFiGxmtnh,2015,83.0000
"Ed Sheeran",1HNkqx9Ahdgi1Ixy2xkKkL,2014,83.0000
"Foster The People",7w87IxuO7BDcJ3YUqCyMTT,2011,83.0000
"Jonas Brothers', 'KAROL G",77fvnWALKJR0ws1VUx09CY,2020,82.0000
"Lil Baby",7ge7BHazYbVKi8qyZUX1Bm,2020,82.0000
DaBaby,1gVCEnryJhkdQcuC0Kbvor,2020,82.0000
"J Balvin",2hsA9YWuF3C9Gosi4dpjJN,2020,82.0000
"KAROL G', 'Anuel AA",2w1rq80FIrbxeJy9WYURxw,2020,82.0000
"Lady Gaga",41A89rj3GoMG6ktN37L7PG,2020,82.0000
$uicideBoy$,41LhQUkElADQ5YUbpYv2D0,2020,82.0000
"Casper Magico', 'Anuel AA",46V4kseB66GjFGklCgynGX,2020,82.0000
"Lady Gaga",4L6ihclQPu1hqP9r3WNJjQ,2020,82.0000
"Lauv', 'Anne-Marie",09PGubKAMryhOWv1LHpCYz,2020,82.0000
Camilo,0jT8Nl0shPS8115is0wD2Q,2020,82.0000
"Tory Lanez",4xqIYGwwZTEem9U8A42SPF,2020,82.0000
"Wallows', 'Clairo",57RA3JGafJm5zRtKJiKPIm,2019,82.0000
"Bad Bunny",5DxXgozhkPLgrbKFY91w0c,2019,82.0000
"BTS', 'Halsey",5KawlOMHjWeUjQtnuRs22c,2019,82.0000
"DaBaby', 'Lil Baby', 'Moneybagg Yo",2FvD20Z8aoWIePi7PoN8sG,2019,82.0000
DaBaby,2gwkD6igEhQbDQegRCcdoB,2019,82.0000
Beéle,2J9B63FawlTaPdg4eH5X03,2019,82.0000
"Piso 21', 'Christian Nodal",1cVlW9WQiGlFdWUXFdFZGh,2019,82.0000
Mabel,5WHTFyqSii0lmT9R21abT8,2019,82.0000
"Rod Wave",6fWa5CRgy0z30OeGZyMBvD,2019,82.0000
Tyga,6LcauUZjF1eXQrgqMUecHX,2019,82.0000
"Shawn Mendes",6LsAAHotRLMOHfCsSfYCsz,2019,82.0000
"Lizzo', 'Ariana Grande",07Oz5StQ7GRoygNLaXs2pd,2019,82.0000
"Jonas Brothers",0DiDStADDVh3SvAsoJAFMk,2019,82.0000
DaBaby,0fySG6A6qLE8IvDpayb5bM,2019,82.0000
OneRepublic,0mjAU3yKR1QnXnHtjGJqTM,2019,82.0000
"Young T & Bugsey', 'Headie One",0PXukVbYpvz40KcEFKnIw7,2019,82.0000
"Lil Tjay",0RLLvYBopDwooCyvnTwgYu,2019,82.0000
"Ariana Grande', 'Social House",0Ryd8975WihbObpp5cPW1t,2019,82.0000
"Jhay Cortez', 'J Balvin', 'Bad Bunny",4R8BJggjosTswLxtkw8V7P,2019,82.0000
"Billie Eilish",3Fj47GNK2kUF0uaEDgXLaD,2019,82.0000
"Taylor Swift",3RauEVgRgj1IuWdJ9fDs70,2019,82.0000
XXXTENTACION,2ZRo7axmMPeSVUvDbGkJah,2018,82.0000
"Dean Lewis",3EPXxR3ImUwfayaurPi3cm,2018,82.0000
"Juice WRLD",1Knctxx9vGZxpZfF66BIEa,2018,82.0000
"Camila Cabello', 'Young Thug",1rfofaqEpACxVEHIZBJe6W,2018,82.0000
"Cardi B', 'Bad Bunny', 'J Balvin",58q2HKrzhC3ozto2nDdN4z,2018,82.0000
"Charlie Puth",5cF0dROlMOK5uNZtivgu50,2018,82.0000
"Pedro Capó', 'Farruko",5iwz1NiezX7WWjnCgY5TH4,2018,82.0000
FINNEAS,7kQkmyoHCEqwe7QwDbkSXM,2018,82.0000
"Lil Mosey",7zLYKWcXnYeHHWidalz7rj,2018,82.0000
Anne-Marie,2BgEsaKNfHUdlh97KmvFyo,2018,82.0000
"Calum Scott",2BOqDYLOJBiMOXShCV1neZ,2018,82.0000
"Imagine Dragons",2FY7b99s15jUprqC0M5NCT,2018,82.0000
"Ariana Grande",2qT1uLXPVPzGgFOx4jtEuo,2018,82.0000
"Lewis Capaldi",2TIlqbIneP0ZY1O0EzYLlc,2018,82.0000
"Social House', 'Lil Yachty",2Yer0p7uB2lVBUAtANuuQp,2018,82.0000
"Dayvi', 'Victor Cardenas', 'Kelly Ruíz",4Clmg1g8n2yBYG13Z1oSdG,2018,82.0000
XXXTENTACION,4UKCKdYiLN6IMA5ZESUTL7,2018,82.0000
"Juice WRLD",5wujBwqG7INdStqGd4tRMX,2018,82.0000
"Arizona Zervas",6lruHh1jF7ezgbLv72xYmf,2018,82.0000
"Marshmello', 'Anne-Marie",08bNPGLD8AhKpnnERrAc6G,2018,82.0000
"Zedd', 'Maren Morris', 'Grey",09IStsImFySgyp0pIQdqAc,2018,82.0000
"The Weeknd",09mEdoA6zrmBPgTEN5qXmN,2018,82.0000
"ZAYN', 'Sia",1j4kHkkpqZRBwE0A4CN4Yv,2017,82.0000
"Shawn Mendes",3QGsuHI8jO1Rx4JWLUh9jd,2017,82.0000
NF,52okn5MNA47tk87PeZJLEL,2017,82.0000
Khalid,5Z3GHaZ6ec9bsiI5BenrbY,2017,82.0000
"Dua Lipa",2ekn2ttSfGqwhhate0LSR0,2017,82.0000
